ID,official_name,nahuatl,type,subchapter
ID272,tlacal-huatzin,tlacal-huatzin,stone,tlacalhuatzin 1f; 2b; tlacalhuatzin 3a; tlacahuatzin 7b; 8j; tlaca-huatzin 8k; 8l; 9e; 10e; 13a; 13a
ID273,chilmolli,chilmolli,other,2b
ID274,molo-tototl,molo-tototl,bird,2b
ID275,xoxouhqui chlalchihuitl,xoxouhqui chlalchihuitl,stone,xoxouhqui chalchi-huitl 3a
ID276,iztac-quetzaliztli,iztac-quetzaliztli,stone,5c
ID277,chichiltic tapachtli,chichiltic tapachtli,stone,5c; 5h; 7c
ID278,xochi-ocotzotl,xochi-ocotzotl,other,5c; 6a; 8j; xochi-oco-tzotl 9q; 10k
ID279,a-camallo-tetl,a-camallo-tetl,stone,5e; 7d; a-camollotetl 9e; 12a
ID280,teo-xihuitl,teo-xihuitl,stone,5h
ID281,xiuh-tomolli,xiuh-tomolli,stone,7d; 7h; 9b
ID282,te-xoxoctli,te-xoxoctli,stone,8a
ID283,eca-cohuatl,eca-cohuatl,animal,8f
ID284,huacton,huacton,bird,8h
ID285,hoxitl,hoxitl,other,8i
ID286,cuetlachtli,cuetlachtli,animal,8l
ID287,miztli,miztli,animal,8l
ID288,ocotochtli,ocotochtli,animal,8l
ID289,tlaco-ocelotl,tlaco-ocelotl,animal,8l
ID290,quetzal-iztli,quetzal-iztli,stone,8l
ID291,huexo-canauhtli,huexo-canauhtli,bird,8l; 9b; 9e; 9f
ID292,huactli,hauctli,bird,8l; huactli 9b; huactli 10a; huactli 10e
ID293,apopotli,apopotli,bird,8l; 9b
ID294,coyotl,coyotl,animal,8l
ID295,huitlalotl,huitlalotl,bird,9b; huitla-tototl 13a
ID296,aztatl,aztatl,bird,9b
ID297,tlacahuilotl,tlacahuilotl,bird,9b
ID298,xiuh-quechol-tototl,xiuh-quechol-tototl,bird,9b; xiuhquechol-tototl 10e; quechol-tototl 13a
ID299,tototl,tototl,bird,9b
ID300,tlapal-tototl,tlapal-tototl,bird,tlpal-tototl 9b; tlapa-tototl 10e; 13a
ID301,noch-tototl,noch-tototl,bird,9b; noch-totl 9e; 13a
ID302,acatzanatl,acatzanatl,bird,9b
ID303,zolin,zolin,bird,9b
ID304,texalli,texalli,stone,9b
ID305,huitzitzilin,huitzitzilin,bird,9e
ID306,cocotli,cocotli,bird,9e
ID307,pezotli,pezotli,animal,9e
ID308,acuecueyalotl,acuecueyalotl,animal,
ID309,octli,octli,other,10h; 11a
ID310,tlaquatzin,tlaquatzin,animal,11a; 11a; 11a; 11a
